"Month","Atvinnulausir eftir menntun"
"2000-02",2845
"2000-03",2801
"2000-04",2561
"2000-05",2241
"2000-06",2109
"2000-07",1967
"2000-08",1735
"2000-09",1506
"2000-10",1564
"2000-11",1902
"2000-12",2407
"2001-01",2541
"2001-02",2460
"2001-03",2265
"2001-04",2761
"2001-05",2095
"2001-06",2072
"2001-07",1992
"2001-08",1747
"2001-09",1856
"2001-10",2208
"2001-11",2712
"2001-12",3119
"2002-01",3827
"2002-02",3949
"2002-03",4046
"2002-04",3972
"2002-05",3970
"2002-06",3900
"2002-07",3903
"2002-08",3566
"2002-09",3583
"2002-10",4080
"2002-11",4582
"2002-12",5071
"2003-01",5859
"2003-02",6212
"2003-03",6043
"2003-04",5791
"2003-05",5798
"2003-06",5313
"2003-07",4975
"2003-08",4527
"2003-09",4347
"2003-10",4535
"2003-11",4912
"2003-12",5272
"2004-01",5511
"2004-02",5495
"2004-03",5408
"2004-04",5219
"2004-05",5435
"2004-06",5199
"2004-07",5112
"2004-08",4600
"2004-09",4259
"2004-10",4292
"2004-11",4352
"2004-12",4661
"2005-01",4759
"2005-02",4483
"2005-03",4069
"2005-04",3748
"2005-05",3628
"2005-06",3437
"2005-07",3422
"2005-08",2759
"2005-09",2450
"2005-10",2446
"2005-11",2562
"2005-12",2627
"2006-01",2720
"2006-02",2584
"2006-03",2417
"2006-04",2324
"2006-05",2333
"2006-06",2343
"2006-07",2454
"2006-08",1945
"2006-09",1781
"2006-10",1840
"2006-11",1921
"2006-12",2110
"2007-01",2157
"2007-02",2180
"2007-03",2075
"2007-04",1945
"2007-05",1962
"2007-06",1764
"2007-07",1714
"2007-08",1538
"2007-09",1496
"2007-10",1441
"2007-11",1469
"2007-12",1548
"2008-01",1756
"2008-02",1796
"2008-03",1892
"2008-04",1857
"2008-05",1972
"2008-06",2059
"2008-07",2252
"2008-08",2269
"2008-09",2520
"2008-10",3967
"2008-11",6350
"2008-12",8982
"2009-01",12407
"2009-02",15485
"2009-03",16822
"2009-04",16750
"2009-05",16385
"2009-06",15548
"2009-07",15217
"2009-08",14371
"2009-09",13748
"2009-10",14369
"2009-11",15017
"2009-12",15329
"2010-01",16382
"2010-02",16574
"2010-03",16482
"2010-04",15932
"2010-05",14867
"2010-06",13929
"2010-07",13632
"2010-08",12714
"2010-09",12650
"2010-10",13280
"2010-11",13619
"2010-12",13972
"2011-01",14688
"2011-02",14873
"2011-03",14865
"2011-04",14101
"2011-05",13296
"2011-06",12424
"2011-07",12253
"2011-08",11932
"2011-09",11487
"2011-10",11844
"2011-11",12354
"2011-12",12679
"2012-01",12080
"2012-02",12128
"2012-03",11817
"2012-04",10990
"2012-05",9854
"2012-06",8817
"2012-07",8696
"2012-08",8346
"2012-09",8188
"2012-10",8592
"2012-11",9059
"2012-12",9489
"2013-01",9289
"2013-02",9166
"2013-03",8888
"2013-04",8343
"2013-05",7837
"2013-06",7271
"2013-07",7284
"2013-08",6958
"2013-09",6480
"2013-10",6766
"2013-11",7076
"2013-12",7364
"2014-01",7846
"2014-02",7688
"2014-03",7583
"2014-04",7205
"2014-05",6591
"2014-06",6053
"2014-07",5975
"2014-08",5635
"2014-09",5481
"2014-10",5740
"2014-11",5838
"2014-12",6057
"2015-01",6306
"2015-02",6274
"2015-03",6251
"2015-04",6021
"2015-05",5438

Atvinnulausir eftir menntun

