"Year","Consumer price index (2000=100)"
"1948",3
"1949",2
"1950",2
"1951",2
"1952",2
"1953",2
"1954",2
"1955",2
"1956",2
"1957",2
"1958",2
"1959",2
"1960",3
"1961",3
"1962",2
"1963",3
"1964",3
"1965",3
"1966",3
"1967",3
"1968",3
"1969",3
"1970",3
"1971",3
"1972",3
"1973",4
"1974",4
"1975",5
"1976",6
"1977",6
"1978",6
"1979",7
"1980",8
"1981",10
"1982",11
"1983",12
"1984",13
"1985",15
"1986",20
"1987",32
"1988",43
"1989",48
"1990",58
"1991",63
"1992",70
"1993",79
"1994",91
"1995",99
"1996",107
"1997",109
"1998",108
"1999",104
"2000",100
"2001",103
"2002",103
"2003",109
"2004",114
"2005",122
"2006",134

Consumer price index (2000=100)

