"Month","Total energy exports","Total energy net imports","Total petroleum, excluding biofuels, exports"
"1973-01",0.126,1.047,0.038
"1973-02",0.121,1.047,0.042
"1973-03",0.140,1.170,0.040
"1973-04",0.194,0.891,0.048
"1973-05",0.197,0.966,0.042
"1973-06",0.179,0.951,0.037
"1973-07",0.164,1.052,0.043
"1973-08",0.191,1.107,0.039
"1973-09",0.146,1.080,0.042
"1973-10",0.208,1.108,0.040
"1973-11",0.183,1.138,0.035
"1973-12",0.184,1.023,0.041
"1974-01",0.121,0.962,0.037
"1974-02",0.165,0.791,0.033
"1974-03",0.132,0.932,0.035
"1974-04",0.187,0.970,0.042
"1974-05",0.218,1.063,0.044
"1974-06",0.225,0.986,0.041
"1974-07",0.201,1.080,0.045
"1974-08",0.191,1.070,0.044
"1974-09",0.170,0.985,0.030
"1974-10",0.246,0.986,0.040
"1974-11",0.225,1.080,0.032
"1974-12",0.123,1.197,0.041
"1975-01",0.163,1.185,0.041
"1975-02",0.171,0.937,0.040
"1975-03",0.200,0.941,0.038
"1975-04",0.209,0.769,0.033
"1975-05",0.234,0.806,0.036
"1975-06",0.215,0.818,0.039
"1975-07",0.172,0.996,0.033
"1975-08",0.203,1.024,0.036
"1975-09",0.169,1.107,0.035
"1975-10",0.168,1.067,0.033
"1975-11",0.239,0.977,0.029
"1975-12",0.180,1.082,0.047
"1976-01",0.134,1.179,0.028
"1976-02",0.130,1.099,0.040
"1976-03",0.148,1.158,0.033
"1976-04",0.203,1.050,0.038
"1976-05",0.194,1.043,0.032
"1976-06",0.222,1.177,0.037
"1976-07",0.184,1.328,0.043
"1976-08",0.164,1.265,0.039
"1976-09",0.198,1.279,0.034
"1976-10",0.200,1.267,0.035
"1976-11",0.215,1.294,0.060
"1976-12",0.180,1.448,0.050
"1977-01",0.100,1.610,0.035
"1977-02",0.128,1.611,0.038
"1977-03",0.137,1.672,0.037
"1977-04",0.196,1.428,0.039
"1977-05",0.211,1.437,0.052
"1977-06",0.209,1.444,0.039
"1977-07",0.195,1.537,0.046
"1977-08",0.166,1.476,0.041
"1977-09",0.193,1.401,0.051
"1977-10",0.186,1.434,0.046
"1977-11",0.171,1.355,0.041
"1977-12",0.161,1.492,0.049
"1978-01",0.077,1.533,0.046
"1978-02",0.057,1.364,0.034
"1978-03",0.065,1.582,0.048
"1978-04",0.132,1.334,0.059
"1978-05",0.182,1.297,0.056
"1978-06",0.220,1.293,0.069
"1978-07",0.160,1.441,0.059
"1978-08",0.176,1.425,0.074
"1978-09",0.184,1.498,0.083
"1978-10",0.223,1.394,0.084
"1978-11",0.237,1.429,0.071
"1978-12",0.209,1.595,0.082
"1979-01",0.175,1.595,0.071
"1979-02",0.159,1.356,0.079
"1979-03",0.241,1.468,0.110
"1979-04",0.234,1.269,0.086
"1979-05",0.250,1.338,0.078
"1979-06",0.251,1.331,0.082
"1979-07",0.266,1.404,0.088
"1979-08",0.259,1.415,0.084
"1979-09",0.219,1.304,0.072
"1979-10",0.282,1.412,0.077
"1979-11",0.261,1.290,0.089
"1979-12",0.258,1.424,0.085
"1980-01",0.226,1.454,0.099
"1980-02",0.209,1.250,0.094
"1980-03",0.262,1.199,0.103
"1980-04",0.286,1.039,0.076
"1980-05",0.343,0.923,0.107
"1980-06",0.359,0.914,0.114
"1980-07",0.322,0.873,0.096
"1980-08",0.312,0.876,0.058
"1980-09",0.329,0.825,0.097
"1980-10",0.369,0.864,0.108
"1980-11",0.341,0.871,0.096
"1980-12",0.337,1.011,0.112
"1981-01",0.261,1.067,0.101
"1981-02",0.277,0.916,0.093
"1981-03",0.369,0.805,0.106
"1981-04",0.324,0.742,0.100
"1981-05",0.273,0.840,0.107
"1981-06",0.245,0.777,0.073
"1981-07",0.393,0.729,0.103
"1981-08",0.420,0.694,0.116
"1981-09",0.411,0.773,0.091
"1981-10",0.466,0.695,0.133
"1981-11",0.440,0.651,0.122
"1981-12",0.430,0.724,0.118
"1982-01",0.316,0.750,0.150
"1982-02",0.374,0.499,0.131
"1982-03",0.440,0.453,0.159
"1982-04",0.425,0.414,0.137
"1982-05",0.418,0.522,0.145
"1982-06",0.415,0.578,0.123
"1982-07",0.384,0.749,0.134
"1982-08",0.356,0.660,0.155
"1982-09",0.374,0.643,0.138
"1982-10",0.436,0.605,0.168
"1982-11",0.349,0.752,0.137
"1982-12",0.320,0.628,0.155
"1983-01",0.299,0.622,0.175
"1983-02",0.262,0.448,0.141
"1983-03",0.316,0.445,0.144
"1983-04",0.310,0.599,0.141
"1983-05",0.344,0.642,0.153
"1983-06",0.331,0.666,0.135
"1983-07",0.271,0.830,0.103
"1983-08",0.347,0.828,0.119
"1983-09",0.323,0.823,0.119
"1983-10",0.324,0.701,0.104
"1983-11",0.278,0.719,0.118
"1983-12",0.288,0.736,0.115
"1984-01",0.245,0.833,0.104
"1984-02",0.217,0.813,0.099
"1984-03",0.314,0.713,0.152
"1984-04",0.325,0.688,0.115
"1984-05",0.363,0.784,0.139
"1984-06",0.365,0.653,0.152
"1984-07",0.324,0.715,0.097
"1984-08",0.358,0.615,0.133
"1984-09",0.353,0.626,0.117
"1984-10",0.294,0.820,0.109
"1984-11",0.269,0.793,0.150
"1984-12",0.359,0.631,0.179
"1985-01",0.303,0.602,0.143
"1985-02",0.304,0.435,0.139
"1985-03",0.311,0.627,0.125
"1985-04",0.327,0.683,0.133
"1985-05",0.378,0.742,0.127
"1985-06",0.338,0.594,0.121
"1985-07",0.325,0.637,0.122
"1985-08",0.417,0.508,0.135
"1985-09",0.363,0.575,0.141
"1985-10",0.362,0.641,0.124
"1985-11",0.404,0.742,0.181
"1985-12",0.365,0.799,0.167
"1986-01",0.318,0.801,0.155
"1986-02",0.285,0.566,0.143
"1986-03",0.305,0.613,0.132
"1986-04",0.376,0.631,0.149
"1986-05",0.363,0.857,0.131
"1986-06",0.313,0.942,0.112
"1986-07",0.337,0.978,0.124
"1986-08",0.373,0.988,0.157
"1986-09",0.346,0.964,0.125
"1986-10",0.349,0.895,0.150
"1986-11",0.330,0.910,0.144
"1986-12",0.328,0.986,0.148
"1987-01",0.279,0.983,0.128
"1987-02",0.289,0.787,0.160
"1987-03",0.309,0.838,0.130
"1987-04",0.322,0.801,0.153
"1987-05",0.298,0.876,0.121
"1987-06",0.317,0.942,0.117
"1987-07",0.305,1.150,0.123
"1987-08",0.332,1.112,0.120
"1987-09",0.321,1.024,0.140
"1987-10",0.300,1.086,0.117
"1987-11",0.328,1.033,0.129
"1987-12",0.413,0.954,0.192
"1988-01",0.285,1.166,0.160
"1988-02",0.273,1.085,0.146
"1988-03",0.347,1.041,0.151
"1988-04",0.362,1.019,0.118
"1988-05",0.368,1.094,0.147
"1988-06",0.389,0.994,0.164
"1988-07",0.377,1.066,0.149
"1988-08",0.403,1.049,0.147
"1988-09",0.393,1.027,0.118
"1988-10",0.378,1.162,0.132
"1988-11",0.357,1.124,0.125
"1988-12",0.436,1.102,0.182
"1989-01",0.314,1.314,0.138
"1989-02",0.331,1.103,0.143
"1989-03",0.394,1.086,0.156
"1989-04",0.397,1.146,0.142
"1989-05",0.412,1.128,0.144
"1989-06",0.436,1.084,0.171
"1989-07",0.320,1.324,0.142
"1989-08",0.402,1.276,0.176
"1989-09",0.382,1.154,0.115
"1989-10",0.408,1.229,0.144
"1989-11",0.444,1.151,0.171
"1989-12",0.420,1.111,0.194
"1990-01",0.344,1.470,0.128
"1990-02",0.312,1.190,0.134
"1990-03",0.406,1.170,0.159
"1990-04",0.370,1.142,0.133
"1990-05",0.395,1.340,0.125
"1990-06",0.398,1.271,0.141
"1990-07",0.376,1.404,0.126
"1990-08",0.428,1.271,0.154
"1990-09",0.430,1.000,0.148
"1990-10",0.411,0.969,0.172
"1990-11",0.453,0.930,0.190
"1990-12",0.428,0.908,0.215
"1991-01",0.391,1.080,0.217
"1991-02",0.459,0.828,0.235
"1991-03",0.390,0.987,0.170
"1991-04",0.322,1.143,0.129
"1991-05",0.480,1.228,0.207
"1991-06",0.414,1.187,0.161
"1991-07",0.448,1.122,0.174
"1991-08",0.442,1.284,0.151
"1991-09",0.427,1.110,0.137
"1991-10",0.425,1.109,0.166
"1991-11",0.457,1.071,0.162
"1991-12",0.485,1.047,0.219
"1992-01",0.448,1.142,0.205
