"Month","Energy prices: F.O.B. costs of crude oil imports from selected countries"
"1973-10",4.22
"1973-11",5.73
"1973-12",6.8
"1974-01",10.76
"1974-02",11.83
"1974-03",11.8
"1974-04",11.72
"1974-05",11.73
"1974-06",11.62
"1974-07",11.19
"1974-08",11.28
"1974-09",10.92
"1974-10",11.01
"1974-11",11.11
"1974-12",11.11
"1975-01",11.16
"1975-02",11.23
"1975-03",11.22
"1975-04",11.19
"1975-05",11.21
"1975-06",11.16
"1975-07",10.97
"1975-08",11.09
"1975-09",11.11
"1975-10",11.53
"1975-11",11.91
"1975-12",12.04
"1976-01",12.08
"1976-02",12.16
"1976-03",12.16
"1976-04",12.15
"1976-05",12.12
"1976-06",12.27
"1976-07",12.22
"1976-08",12.22
"1976-09",12.26
"1976-10",12.27
"1976-11",12.32
"1976-12",12.42
"1977-01",12.98
"1977-02",13.09
"1977-03",13.22
"1977-04",13.19
"1977-05",13.3
"1977-06",13.21
"1977-07",13.31
"1977-08",13.43
"1977-09",13.43
"1977-10",13.43
"1977-11",13.49
"1977-12",13.42
"1978-01",13.36
"1978-02",13.36
"1978-03",13.39
"1978-04",13.29
"1978-05",13.25
"1978-06",13.27
"1978-07",13.24
"1978-08",13.23
"1978-09",13.27
"1978-10",13.25
"1978-11",13.31
"1978-12",13.46
"1979-01",14.08
"1979-02",14.28
"1979-03",14.89
"1979-04",16.6
"1979-05",17.55
"1979-06",19.66
"1979-07",21.45
"1979-08",21.94
"1979-09",23.05
"1979-10",23.06
"1979-11",26.13
"1979-12",27.53
"1980-01",29.07
"1980-02",30.78
"1980-03",30.97
"1980-04",31.66
"1980-05",32.33
"1980-06",32.77
"1980-07",32.94
"1980-08",33.29
"1980-09",33.2
"1980-10",33.07
"1980-11",34.27
"1980-12",34.23
"1981-01",36.41
"1981-02",36.51
"1981-03",36.61
"1981-04",35.94
"1981-05",35.55
"1981-06",35.36
"1981-07",33.48
"1981-08",33.59
"1981-09",33.88
"1981-10",34.02
"1981-11",34.89
"1981-12",34.92
"1982-01",34.58
"1982-02",34.55
"1982-03",33.96
"1982-04",33.15
"1982-05",33.14
"1982-06",33.7
"1982-07",33.57
"1982-08",32.9
"1982-09",32.79
"1982-10",33.4
"1982-11",33.07
"1982-12",32.45
"1983-01",31.3
"1983-02",29.13
"1983-03",27.81
"1983-04",28.16
"1983-05",28.44
"1983-06",28.78
"1983-07",28.63
"1983-08",28.39
"1983-09",28.26
"1983-10",28.4
"1983-11",28.32
"1983-12",27.71
"1984-01",28.26
"1984-02",28.15
"1984-03",28.36
"1984-04",28.24
"1984-05",28.22
"1984-06",28.12
"1984-07",27.04
"1984-08",27.45
"1984-09",27.48
"1984-10",27.14
"1984-11",27.05
"1984-12",26.6
"1985-01",26.15
"1985-02",26.48
"1985-03",26.47
"1985-04",26.81
"1985-05",26.29
"1985-06",25.72
"1985-07",25.71
"1985-08",25.36
"1985-09",25.29
"1985-10",25.6
"1985-11",25.68
"1985-12",23.29
"1986-01",21.02
"1986-02",13.99
"1986-03",12.53
"1986-04",11.82
"1986-05",10.46
"1986-06",10.33
"1986-07",9.85
"1986-08",10.36
"1986-09",11.31
"1986-10",11.81
"1986-11",12.64
"1986-12",14.13
"1987-01",14.92
"1987-02",15.84
"1987-03",16.34
"1987-04",16.78
"1987-05",16.92
"1987-06",17.24
"1987-07",17.35
"1987-08",17.35
"1987-09",17.05
"1987-10",16.01
"1987-11",16.27
"1987-12",14.5
"1988-01",13.26
"1988-02",13.73
"1988-03",13.8
"1988-04",14.23
"1988-05",14.44
"1988-06",14.12
"1988-07",13.4
"1988-08",12.72
"1988-09",12.15
"1988-10",12.32
"1988-11",12.8
"1988-12",13.85
"1989-01",14.77
"1989-02",15.98
"1989-03",17.37
"1989-04",18.35
"1989-05",17.28
"1989-06",16.49
"1989-07",16.02
