"Date","Game Attempt in Orðrýna"
"2012-01-14",58
"2012-01-15",32
"2012-01-16",21
"2012-01-17",15
"2012-01-18",9
"2012-01-19",37
"2012-01-20",18
"2012-01-21",5
"2012-01-22",4
"2012-01-23",12
"2012-01-24",2
"2012-01-25",4
"2012-01-26",11
"2012-01-27",57
"2012-01-28",105
"2012-01-29",196
"2012-01-30",146
"2012-01-31",260
"2012-02-01",150
"2012-02-02",52
"2012-02-03",87
"2012-02-04",55
"2012-02-05",54
"2012-02-06",43
"2012-02-07",56
"2012-02-08",72
"2012-02-09",32
"2012-02-10",23
"2012-02-11",43
"2012-02-12",97
"2012-02-13",103
"2012-02-14",149
"2012-02-15",165
"2012-02-16",212
"2012-02-17",177
"2012-02-18",153
"2012-02-19",177
"2012-02-20",98
"2012-02-21",105
"2012-02-22",104
"2012-02-23",79
"2012-02-24",135
"2012-02-25",216
"2012-02-26",163
"2012-02-27",92
"2012-02-28",86
"2012-02-29",122
"2012-03-01",140
"2012-03-02",133
"2012-03-03",121
"2012-03-04",131
"2012-03-05",141
"2012-03-06",138
"2012-03-07",93
"2012-03-08",102
"2012-03-09",127
"2012-03-10",132
"2012-03-11",158
"2012-03-12",78
"2012-03-13",120
"2012-03-14",137
"2012-03-15",80
"2012-03-16",64
"2012-03-17",110
"2012-03-18",92
"2012-03-19",91
"2012-03-20",60
"2012-03-21",92
"2012-03-22",72
"2012-03-23",51
"2012-03-24",66
"2012-03-25",91
"2012-03-26",76
"2012-03-27",97
"2012-03-28",67
"2012-03-29",62
"2012-03-30",75
"2012-03-31",90
"2012-04-01",60
"2012-04-02",71
"2012-04-03",88
"2012-04-04",132
"2012-04-05",42
"2012-04-06",73
"2012-04-07",86
"2012-04-08",70
"2012-04-09",65
"2012-04-10",46
"2012-04-11",62
"2012-04-12",41
"2012-04-13",59
"2012-04-14",80
"2012-04-15",55
"2012-04-16",83
"2012-04-17",55
"2012-04-18",63
"2012-04-19",39
"2012-04-20",62
"2012-04-21",33
"2012-04-22",40
"2012-04-23",46
"2012-04-24",59
"2012-04-25",84
"2012-04-26",69
"2012-04-27",39
"2012-04-28",53
"2012-04-29",54
"2012-04-30",59
"2012-05-01",64
"2012-05-02",61
"2012-05-03",58
"2012-05-04",47
"2012-05-05",48
"2012-05-06",85
"2012-05-07",53
"2012-05-08",31
"2012-05-09",47
"2012-05-10",66
"2012-05-11",53
"2012-05-12",94
"2012-05-13",88
"2012-05-14",104
"2012-05-15",111
"2012-05-16",57
"2012-05-17",127
"2012-05-18",144
"2012-05-19",126
"2012-05-20",78
"2012-05-21",60
"2012-05-22",77
"2012-05-23",72
"2012-05-24",47
"2012-05-25",46
"2012-05-26",47
"2012-05-27",31
"2012-05-28",73
"2012-05-29",84
"2012-05-30",45
"2012-05-31",61
"2012-06-01",58
"2012-06-02",49
"2012-06-03",45
"2012-06-04",42
"2012-06-05",41
"2012-06-06",41
"2012-06-07",26
"2012-06-08",14
"2012-06-09",31
"2012-06-10",57
"2012-06-11",43
"2012-06-12",37
"2012-06-13",30
"2012-06-14",45
"2012-06-15",25
"2012-06-16",4
"2012-06-17",12
"2012-06-18",14
"2012-06-19",28
"2012-06-20",20
"2012-06-21",21
"2012-06-22",19
"2012-06-23",22
"2012-06-24",23
"2012-06-25",16
"2012-06-26",26
"2012-06-27",17
"2012-06-28",20
"2012-06-29",8
"2012-06-30",27
"2012-07-01",20
"2012-07-02",24
"2012-07-03",42
"2012-07-04",18
"2012-07-05",27
"2012-07-06",24
"2012-07-07",13
"2012-07-08",31
"2012-07-09",21
"2012-07-10",24
"2012-07-11",9
"2012-07-12",13
"2012-07-13",7
"2012-07-14",6
"2012-07-15",13
"2012-07-16",13
"2012-07-17",7
"2012-07-18",27
"2012-07-19",51
"2012-07-20",6
"2012-07-21",12
"2012-07-22",17
"2012-07-23",19
"2012-07-24",7
"2012-07-25",10
"2012-07-27",11
"2012-07-28",12
"2012-07-29",13
"2012-07-30",20
"2012-07-31",19
"2012-08-01",23
"2012-08-02",6
"2012-08-03",11
"2012-08-04",9
"2012-08-05",14
"2012-08-06",23
"2012-08-07",32
"2012-08-08",69
"2012-08-09",47
"2012-08-10",58
"2012-08-11",60
"2012-08-12",88
"2012-08-13",77
"2012-08-14",123
"2012-08-15",79
"2012-08-16",78
"2012-08-17",101
"2012-08-18",107
"2012-08-19",88
"2012-08-20",110
"2012-08-21",102
"2012-08-22",107
"2012-08-23",93
"2012-08-24",82
"2012-08-25",59
"2012-08-26",57
"2012-08-27",52
"2012-08-28",49
"2012-08-29",42
"2012-08-30",54
"2012-08-31",37
"2012-09-01",44
"2012-09-02",99
"2012-09-03",68
"2012-09-04",54
"2012-09-05",43
"2012-09-06",117
"2012-09-07",28
"2012-09-08",36
"2012-09-09",82
"2012-09-10",66
"2012-09-11",68
"2012-09-12",60
"2012-09-13",61
"2012-09-14",37
"2012-09-15",58
"2012-09-16",70
"2012-09-17",72
"2012-09-18",79
"2012-09-19",1080
"2012-09-20",876
"2012-09-21",697
"2012-09-22",548
"2012-09-23",592
"2012-09-24",552
"2012-09-25",491
"2012-09-26",363
"2012-09-27",265

Game Attempt in Orðrýna

