"Date","Close","High","Low","Open"
"1996-11-11",8.98,9.05,8.94,0
"1996-11-12",8.86,9.12,8.84,0
"1996-11-13",9.06,9.11,8.95,0
"1996-11-14",9.35,9.35,9.08,0
"1996-11-15",9.31,9.43,9.21,0
"1996-11-18",9.4,9.47,9.29,0
"1996-11-19",9.74,9.74,9.39,0
"1996-11-20",9.58,9.88,9.58,0
"1996-11-21",9.4,9.66,9.38,0
"1996-11-22",9.41,9.53,9.34,0
"1996-11-25",9.59,9.6,9.41,0
"1996-11-26",9.61,9.71,9.52,0
"1996-11-27",9.72,9.73,9.61,0
"1996-11-29",9.8,9.82,9.72,0
"1996-12-02",9.86,9.86,9.7,0
"1996-12-03",9.67,9.97,9.66,0
"1996-12-04",9.58,9.7,9.51,0
"1996-12-05",9.56,9.71,9.49,0
"1996-12-06",9.55,9.66,9.27,0
"1996-12-09",10.22,10.23,9.75,0
"1996-12-10",10.23,10.57,10.22,0
"1996-12-11",10.42,10.45,10.02,0
"1996-12-12",10.12,10.66,10.12,0
"1996-12-13",10,10.25,9.9,0
"1996-12-16",9.59,10.09,9.56,0
"1996-12-17",9.98,10.02,9.55,0
"1996-12-18",10.33,10.34,10,0
"1996-12-19",10.61,10.64,10.38,0
"1996-12-20",10.45,10.7,10.42,0
"1996-12-23",10.47,10.59,10.36,0
"1996-12-24",10.61,10.64,10.39,0
"1996-12-26",10.69,10.77,10.64,0
"1996-12-27",10.53,10.72,10.5,0
"1996-12-30",10.44,10.7,10.44,0
"1996-12-31",10.33,10.53,10.31,0
"1997-01-02",10.2,10.39,10.09,0
"1997-01-03",10.58,10.59,10.25,0
"1997-01-06",10.55,10.66,10.39,0
"1997-01-07",10.62,10.64,10.42,0
"1997-01-08",10.42,10.65,10.39,0
"1997-01-09",10.3,10.47,10.28,0
"1997-01-10",10.53,10.55,10.2,0
"1997-01-13",10.47,10.69,10.44,0
"1997-01-14",10.67,10.83,10.53,0
"1997-01-15",10.58,10.78,10.55,0
"1997-01-16",10.75,10.89,10.62,0
"1997-01-17",10.89,10.97,10.69,0
"1997-01-20",11.34,11.61,10.83,0
"1997-01-21",11.88,11.88,11.2,0
"1997-01-22",12.17,12.31,11.83,0
"1997-01-23",11.84,12.47,11.81,0
"1997-01-24",11.99,12.22,11.8,0
"1997-01-27",12.02,12.17,11.94,0
"1997-01-28",11.95,12.34,11.84,0
"1997-01-29",12.16,12.17,11.97,0
"1997-01-30",12.64,12.66,12.25,0
"1997-01-31",12.75,12.91,12.61,0
"1997-02-03",12.8,12.92,12.64,0
"1997-02-04",12.89,12.91,12.56,0
"1997-02-05",12.3,12.94,12.11,0
"1997-02-06",12.14,12.3,12,0
"1997-02-07",12.55,12.56,12.19,0
"1997-02-10",12.22,12.69,12.2,0
"1997-02-11",12.31,12.33,11.89,0
"1997-02-12",12.48,12.5,12.19,0
"1997-02-13",12.5,12.64,12.42,0
"1997-02-14",12.23,12.56,12.2,0
"1997-02-18",12.17,12.23,12.02,0
"1997-02-19",12.19,12.27,12.06,0
"1997-02-20",11.91,12.19,11.89,0
"1997-02-21",11.88,11.92,11.75,0
"1997-02-24",12.52,12.53,11.75,0
"1997-02-25",12.44,12.63,12.36,0
"1997-02-26",12.53,12.55,12.3,0
"1997-02-27",12.02,12.53,12,0
"1997-02-28",12.19,12.3,11.93,0
"1997-03-03",12.44,12.52,12.08,0
"1997-03-04",12.39,12.52,12.33,0
"1997-03-05",12.61,12.62,12.41,0
"1997-03-06",12.24,12.61,12.22,0
"1997-03-07",12.09,12.44,12.06,0
"1997-03-10",12.5,12.52,11.99,0
"1997-03-11",12.3,12.57,12.3,0
"1997-03-12",12.34,12.44,12.22,0
"1997-03-13",12.45,12.52,12.25,0
"1997-03-14",12.38,12.53,12.36,0
"1997-03-17",12.56,12.59,12.25,0
"1997-03-18",12.45,12.6,12.36,0
"1997-03-19",12.09,12.28,11.87,0
"1997-03-20",12,12.22,11.92,0
"1997-03-21",11.75,12.14,11.61,0
"1997-03-24",11.27,11.69,10.94,0
"1997-03-25",11.29,11.42,11.11,0
"1997-03-26",11.78,11.83,11.33,0
"1997-03-27",11.72,12.02,11.56,0
"1997-03-31",11.46,11.81,11.41,0
"1997-04-01",11.66,11.72,11.22,0
"1997-04-02",11.5,11.7,11.38,0
"1997-04-03",11.89,11.92,11.33,0
"1997-04-04",11.77,12.09,11.72,0
"1997-04-07",11.98,12.2,11.88,0
"1997-04-08",12.28,12.28,11.94,0
"1997-04-09",12.25,12.41,12.22,0
"1997-04-10",12.09,12.22,11.94,0
"1997-04-11",11.88,12.16,11.87,0
"1997-04-14",12.17,12.17,11.67,0
"1997-04-15",12.14,12.38,11.98,0
