"Date","Socialmediapayrollindex Adp 20120429"
"2008-05-18",115067.57
"2008-05-25",115033.58
"2008-06-01",114973.38
"2008-06-08",114904.83
"2008-06-15",114852.85
"2008-06-22",114783.69
"2008-06-29",114710.37
"2008-07-06",114586.16
"2008-07-13",114501
"2008-07-20",114442.52
"2008-07-27",114332.47
"2008-08-03",114206.89
"2008-08-10",114123.45
"2008-08-17",114045.73
"2008-08-24",113943.53
"2008-08-31",113880.36
"2008-09-07",113773.84
"2008-09-14",113659.78
"2008-09-21",113545.97
"2008-09-28",113428.16
"2008-10-05",113276.3
"2008-10-12",113162.96
"2008-10-19",113066
"2008-10-26",112953.98
"2008-11-02",112857.26
"2008-11-09",112709.53
"2008-11-16",112602.52
"2008-11-23",112499.25
"2008-11-30",112373.31
"2008-12-07",112186
"2008-12-14",112059.31
"2008-12-21",111972.8
"2008-12-28",111855.55
"2009-01-04",111619.53
"2009-01-11",111439.58
"2009-01-18",111284.48
"2009-01-25",111144
"2009-02-01",110993.74
"2009-02-08",110859.19
"2009-02-15",110776.49
"2009-02-22",110686.22
"2009-03-01",110571.8
"2009-03-08",110330.55
"2009-03-15",110218.54
"2009-03-22",110123.14
"2009-03-29",110019.98
"2009-04-05",109781
"2009-04-12",109684.84
"2009-04-19",109582.32
"2009-04-26",109471.15
"2009-05-03",109198.7
"2009-05-10",109064
"2009-05-17",108949.74
"2009-05-24",108823.26
"2009-05-31",108681.23
"2009-06-07",108590.16
"2009-06-14",108489.89
"2009-06-21",108401.63
"2009-06-28",108297.51
"2009-07-05",108128.34
"2009-07-12",108055.59
"2009-07-19",107994.47
"2009-07-26",107918
"2009-08-02",107851.54
"2009-08-09",107780.9
"2009-08-16",107710.2
"2009-08-23",107635.35
"2009-08-30",107560.47
"2009-09-06",107441.48
"2009-09-13",107403.52
"2009-09-20",107362.9
"2009-09-27",107321.9
"2009-10-04",107244.78
"2009-10-11",107235.59
"2009-10-18",107209.31
"2009-10-25",107196
"2009-11-01",107183.89
"2009-11-08",107189.46
"2009-11-15",107176.82
"2009-11-22",107159.64
"2009-11-29",107152.45
"2009-12-06",107126.7
"2009-12-13",107129
"2009-12-20",107137.33
"2009-12-27",107144.19
"2010-01-03",107123.75
"2010-01-10",107111.68
"2010-01-17",107106.83
"2010-01-24",107088.94
"2010-01-31",107087.58
"2010-02-07",107087
"2010-02-14",107080.79
"2010-02-21",107077.95
"2010-02-28",107086.96
"2010-03-07",107085.81
"2010-03-14",107108.15
"2010-03-21",107124.61
"2010-03-28",107158.5
"2010-04-04",107183.78
"2010-04-11",107219.49
"2010-04-18",107247.38
"2010-04-25",107272.55
"2010-05-02",107294.26
"2010-05-09",107315.16
"2010-05-16",107339.88
"2010-05-23",107364.68
"2010-05-30",107395
"2010-06-06",107446.23
"2010-06-13",107497.89
"2010-06-20",107554.83
"2010-06-27",107610.99
"2010-07-04",107668.67
"2010-07-11",107710.22
"2010-07-18",107760.44
"2010-07-25",107790
"2010-08-01",107812.29
"2010-08-08",107822
"2010-08-15",107828.68
"2010-08-22",107834.14
"2010-08-29",107833.46
"2010-09-05",107847.95
"2010-09-12",107848
"2010-09-19",107842.43
"2010-09-26",107826.32
"2010-10-03",107839.51
"2010-10-10",107841.35
"2010-10-17",107848.55
"2010-10-24",107853.2
"2010-10-31",107861.75
"2010-11-07",107858.68
"2010-11-14",107849.62
"2010-11-21",107836.65
"2010-11-28",107844.45
"2010-12-05",107872.81
"2010-12-12",107884.26
"2010-12-19",107883
"2010-12-26",107874.97
"2011-01-02",107878.19
"2011-01-09",107891.21
"2011-01-16",107899.27
"2011-01-23",107914.18
"2011-01-30",107944.14
"2011-02-06",108007.5
"2011-02-13",108057.9
"2011-02-20",108108.98
"2011-02-27",108175.25
"2011-03-06",108268.56
"2011-03-13",108321.62
"2011-03-20",108367.77
"2011-03-27",108414.65
"2011-04-03",108462.36
"2011-04-10",108517
"2011-04-17",108550.96
"2011-04-24",108582.85
"2011-05-01",108615
"2011-05-08",108673.66
"2011-05-15",108695.51
"2011-05-22",108713.53
"2011-05-29",108766.25
"2011-06-05",108831.61
"2011-06-12",108852.95
"2011-06-19",108878.21
"2011-06-26",108909.35
"2011-07-03",108959.93
"2011-07-10",108978.85
"2011-07-17",108982.94
"2011-07-24",108999.79
"2011-07-31",109014.19
"2011-08-07",109060.57
"2011-08-14",109097.31
"2011-08-21",109147.15
"2011-08-28",109192.13
"2011-09-04",109281.35
"2011-09-11",109309
"2011-09-18",109347.57
"2011-09-25",109381.51
"2011-10-02",109415.48
"2011-10-09",109423.44
"2011-10-16",109445.87
"2011-10-23",109486.44
"2011-10-30",109515.23
"2011-11-06",109569.71
"2011-11-13",109640.67
"2011-11-20",109693.31
"2011-11-27",109745.63
"2011-12-04",109791.77
"2011-12-11",109822.81
"2011-12-18",109814.47
"2011-12-25",109845.99
"2012-01-01",109930.63
"2012-01-08",109984.96
"2012-01-15",110044.81
"2012-01-22",110082.97
"2012-01-29",110117.98
"2012-02-05",110216.33
"2012-02-12",110322.31
"2012-02-19",110409.22
"2012-02-26",110484.43
"2012-03-04",110554.84
"2012-03-11",110584.44
"2012-03-18",110658.22
"2012-03-25",110683.36
"2012-04-01",110713
"2012-04-08",110734.2
"2012-04-15",110738.94
"2012-04-22",110696.33
"2012-04-29",110651.12

Socialmediapayrollindex Adp 20120429

